Country,Year,Agri_GDP,Credit_Private,Elec_Access,Emp_Services,FDI_GDP,Indus_GDP,Internet_Usage,Serv_GDP,GDPC_2015
ABW,2004,0.0175662581169615,51.7852298243845,100.0,49.9543541630426,-4.3599322772924545,15.5965082540353,23.0,76.456580991723,29959.7748189582
ABW,2005,0.0173277773977134,54.0607007192211,100.0,50.3642347768599,-4.3599322772924545,16.2974611255338,25.4,75.541061032835,29081.7066997897
ABW,2006,0.0175077037289373,53.8841202639004,100.0,50.6231769549281,8.92046662114826,17.6558632372378,28.0,73.7471756386862,28885.9118700469
ABW,2007,0.0178385963799542,51.7272559982541,100.0,50.6590283450837,-4.3599322772924545,17.4795502921148,30.9,72.0518850702006,29556.8384686554
ABW,2008,0.0169973987102413,50.6584576108456,100.0,50.9593888378512,0.664175810874169,16.1823488793703,52.0,73.1525399615721,29870.6648077005
ABW,2009,0.0199068534264945,55.8930411328093,100.0,51.6048881399569,-0.41563759901472,13.0430359920285,58.0,75.7664029190885,26204.0597361984
ABW,2010,0.0204920878910203,58.8006572951036,93.4,52.5390147086811,7.61167220218675,11.5460620013165,62.0,78.5445335192497,25429.2180974853
ABW,2011,0.0203949029261921,56.2504341594081,100.0,52.6145323962141,11.010544401215425,12.3664483303712,69.0,77.4233295663828,26093.0542083227
ABW,2012,0.0214687486582032,58.6859032351161,100.0,53.1341994600021,-4.3599322772924545,10.0760634560669,74.0,79.5391289840283,25444.7336646687
ABW,2013,0.0178174631618829,59.1636851428981,100.0,53.5430702246149,9.97445713517423,10.7496646425755,78.9,80.1808370111718,26680.1411206342
ABW,2014,0.0148129732019303,60.2405386637617,100.0,54.1410067239807,7.46525460335849,10.799498200524,83.78,80.2286442466312,26773.8226808518
ABW,2015,0.0125197907912791,56.6268817632089,100.0,54.4112830836989,-0.907264375161604,12.4688254381031,88.6612,79.1390682899908,27458.2201537506
ABW,2016,0.018611754127868,57.2219316866237,100.0,54.5049047408101,0.923397287531133,12.7138128237982,93.5425,78.7310715745525,27587.2498040483
ABW,2017,0.023918578557175,57.246534425591,100.0,54.188247670037,5.2533752062728,12.3948278061063,97.17,78.9879081107466,28548.8904317739
ABW,2018,0.0222530069695395,55.9651018283957,100.0,54.7593556383935,4.39981717177271,11.358156434717,97.17,79.7290794451106,29419.208623316
ABW,2019,0.0184243247340194,59.6493537497553,100.0,55.8657560901886,-2.2478342012416,11.6288104514912,97.17,77.9193349333139,29699.1805366222
ABW,2020,0.0217006023554796,82.0939664354264,100.0,56.0999877808229,6.51718576425329,12.6114406876517,97.17,77.2007006682213,22729.8897593533
ABW,2021,0.0299985466651702,68.6460015848153,100.0,55.305223900281,4.63553026601194,11.0075338030159,97.17,78.4104138454673,26292.9179363154
ABW,2022,0.0342144315332219,60.5316284506998,99.9,55.997466048887,7.4653342753216,9.73591736419981,97.17,79.0035997315605,29195.2670227422
ABW,2023,0.0342144315332219,56.711929646071,100.0,56.4243401985256,-3.58459079731401,9.73591736419981,97.17,79.0035997315605,31430.9353682253
ABW,2024,0.0342144315332219,56.711929646071,100.0,56.8251366111918,2.42051208397071,9.73591736419981,97.17,79.0035997315605,33373.9174591266
AFE,2004,10.0517582138612,79.85964558993,23.724454932615,27.8124407883343,1.82591614109867,26.8893149488841,1.8,54.0615506002132,1271.31275711155
AFE,2005,9.96435509379107,85.31112801404,23.449539355606,27.9728340220678,2.02191300437059,27.8152096872531,1.8,52.8721406975059,1314.3879382145
AFE,2006,10.263076702081,94.3851489171964,25.1724823105969,28.2971521723929,1.25663111373599,27.8943653138769,1.9,52.142832261945,1364.70525366925
AFE,2007,11.1719463183513,93.3502201462442,26.7951445862147,28.6043096345486,2.43740589998239,29.2235447877185,2.7,49.7905873166223,1417.47243247841
AFE,2008,12.3951575283608,78.1458267875116,25.9088451344457,28.859947033116,3.1569406143365,30.4645998089145,3.0,48.2903210213689,1440.59728407645
AFE,2009,12.6634182446055,79.5947790610624,26.1878464781111,29.0800077037936,2.58633169148882,26.6977694815849,3.5,53.4094698273855,1414.58775130051
