Country,Year,Agri_GDP,Credit_Private,Elec_Access,Emp_Services,FDI_GDP,GDPC_2015,Indus_GDP,Internet_Usage,Serv_GDP
ABW,2004,0.0175662581169615,51.7852298243845,100.0,,-4.68763897846137,29959.7748189582,15.5965082540353,23.0,76.456580991723
ABW,2005,0.0173277773977134,54.0607007192211,100.0,,-8.8049356352136,29081.7066997897,16.2974611255338,25.4,75.541061032835
ABW,2006,0.0175077037289373,53.8841202639004,100.0,,8.92046662114826,28885.9118700469,17.6558632372378,28.0,73.7471756386862
ABW,2007,0.0178385963799542,51.7272559982541,100.0,,-17.5903165005138,29556.8384686554,17.4795502921148,30.9,72.0518850702006
ABW,2008,0.0169973987102413,50.6584576108456,100.0,,0.664175810874169,29870.6648077005,16.1823488793703,52.0,73.1525399615721
ABW,2009,0.0199068534264945,55.8930411328093,100.0,,-0.41563759901472,26204.0597361984,13.0430359920285,58.0,75.7664029190885
ABW,2010,0.0204920878910203,58.8006572951036,93.4,,7.61167220218675,25429.2180974853,11.5460620013165,62.0,78.5445335192497
ABW,2011,0.0203949029261921,56.2504341594081,100.0,,18.5057800383246,26093.0542083227,12.3664483303712,69.0,77.4233295663828
ABW,2012,0.0214687486582032,58.6859032351161,100.0,,-12.0331802180755,25444.7336646687,10.0760634560669,74.0,79.5391289840283
ABW,2013,0.0178174631618829,59.1636851428981,100.0,,9.97445713517423,26680.1411206342,10.7496646425755,78.9,80.1808370111718
ABW,2014,0.0148129732019303,60.2405386637617,100.0,,7.46525460335849,26773.8226808518,10.799498200524,83.78,80.2286442466312
ABW,2015,0.0125197907912791,56.6268817632089,100.0,,-0.907264375161604,27458.2201537506,12.4688254381031,88.6612,79.1390682899908
ABW,2016,0.018611754127868,57.2219316866237,100.0,,0.923397287531133,27587.2498040483,12.7138128237982,93.5425,78.7310715745525
ABW,2017,0.023918578557175,57.246534425591,100.0,,5.2533752062728,28548.8904317739,12.3948278061063,97.17,78.9879081107466
ABW,2018,0.0222530069695395,55.9651018283957,100.0,,4.39981717177271,29419.208623316,11.358156434717,,79.7290794451106
ABW,2019,0.0184243247340194,59.6493537497553,100.0,,-2.2478342012416,29699.1805366222,11.6288104514912,,77.9193349333139
ABW,2020,0.0217006023554796,82.0939664354264,100.0,,6.51718576425329,22729.8897593533,12.6114406876517,,77.2007006682213
ABW,2021,0.0299985466651702,68.6460015848153,100.0,,4.63553026601194,26292.9179363154,11.0075338030159,,78.4104138454673
ABW,2022,0.0342144315332219,60.5316284506998,99.9,,7.4653342753216,29195.2670227422,9.73591736419981,,79.0035997315605
ABW,2023,,56.711929646071,100.0,,-3.58459079731401,31430.9353682253,,,
ABW,2024,,,,,2.42051208397071,33373.9174591266,,,
AFE,2004,10.0517582138612,79.85964558993,23.724454932615,27.8124407883343,1.82591614109867,1271.31275711155,26.8893149488841,,54.0615506002132
AFE,2005,9.96435509379107,85.31112801404,23.449539355606,27.9728340220678,2.02191300437059,1314.3879382145,27.8152096872531,1.8,52.8721406975059
AFE,2006,10.263076702081,94.3851489171964,25.1724823105969,28.2971521723929,1.25663111373599,1364.70525366925,27.8943653138769,1.9,52.142832261945
